step,t_ms,ball_x,ball_y,ball_z,p1_x,p1_y,p2_x,p2_y,p3_x,p3_y,p4_x,p4_y,p5_x,p5_y,p6_x,p6_y
1,920,-0.00027702585397904045,-0.00742662303202528,0.042,-14.20040512084961,9.194828987121582,-14.198371887207031,7.992682456970215,-14.194512367248535,6.8036088943481445,-14.199664115905762,-9.203136444091797,-14.195756912231445,-8.006380081176758,-14.199127197265625,-6.800680637359619
2,940,-0.00027702585397904045,-0.00742662303202528,0.042,-14.20040512084961,9.194828987121582,-9.003129959106445,-0.023828495293855667,-14.194512367248535,6.8036088943481445,-14.199664115905762,-9.203136444091797,-14.195756912231445,-8.006380081176758,4.997190952301025,0.024625683203339577
3,960,-0.00027702585397904045,-0.00742662303202528,0.042,-14.20040512084961,9.194828987121582,-9.003129959106445,-0.023828495293855667,-5.0101118087768555,0.039268266409635544,-4.259332180023193,-0.036719899624586105,-14.195756912231445,-8.006380081176758,4.997190952301025,0.024625683203339577
4,980,-0.018223162021657302,-0.01176416084710219,0.042,-13.986820220947266,-0.07701984792947769,-9.003129959106445,-0.023828495293855667,-5.0101118087768555,0.039268266409635544,-4.259332180023193,-0.036719899624586105,-2.4644124507904053,-0.01728161796927452,4.997190952301025,0.024625683203339577
5,1000,-0.018223162021657302,-0.01176416084710219,0.042,-13.986820220947266,-0.07701984792947769,-8.99998950958252,-0.033500492572784424,-5.0101118087768555,0.039268266409635544,-4.259332180023193,-0.036719899624586105,-2.4644124507904053,-0.01728161796927452,-2.665738105773926,0.8122066855430603
6,1020,-0.018223162021657302,-0.01176416084710219,0.042,-13.986820220947266,-0.07701984792947769,-8.99998950958252,-0.033500492572784424,-5.003152847290039,0.10101857781410217,-4.28354549407959,-0.03188227862119675,-2.4644124507904053,-0.01728161796927452,-2.665738105773926,0.8122066855430603
7,1040,0.006145717646598214,0.0053881637264932,0.042,-13.941727638244629,-0.16108426451683044,-8.99998950958252,-0.033500492572784424,-5.003152847290039,0.10101857781410217,-4.28354549407959,-0.03188227862119675,-2.5038490295410156,-0.024950126186013222,-2.665738105773926,0.8122066855430603
8,1060,0.006145717646598214,0.0053881637264932,0.042,-13.941727638244629,-0.16108426451683044,-8.980944633483887,-0.03837152197957039,-5.003152847290039,0.10101857781410217,-4.28354549407959,-0.03188227862119675,-2.5038490295410156,-0.024950126186013222,-2.7006561756134033,0.8357748985290527
9,1080,0.006145717646598214,0.0053881637264932,0.042,-13.941727638244629,-0.16108426451683044,-8.980944633483887,-0.03837152197957039,-5.017833709716797,0.15735895931720734,-4.285124778747559,-0.031748201698064804,-2.5038490295410156,-0.024950126186013222,-2.7006561756134033,0.8357748985290527
10,1100,-0.0016443304446536189,0.022727976798082583,0.055778809420185205,-13.92099380493164,-0.2167169153690338,-8.980944633483887,-0.03837152197957039,-5.017833709716797,0.15735895931720734,-4.285124778747559,-0.031748201698064804,-2.541404962539673,-0.04755650460720062,-2.7006561756134033,0.8357748985290527
11,1120,-0.0016443304446536189,0.022727976798082583,0.055778809420185205,-13.92099380493164,-0.2167169153690338,-8.9644193649292,-0.07852893322706223,-5.017833709716797,0.15735895931720734,-4.285124778747559,-0.031748201698064804,-2.541404962539673,-0.04755650460720062,-2.7192800045013428,0.8031600117683411
